"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Corse - Série arrêtée";"001711053";"";"28.88";"37.13";"45.33";"151.72";"315.08";"352.96";"363.77";"427.49";"353.8";"132.84";"41.85";"34.18";"28.15";"36.12";"51.26";"151.55";"281.1";"351.18";"344.36";"428.7";"356.37";"145.94";"36.44";"32.89";"29.81";"33.99";"50.52";"150.49";"272.31";"326.07";"353.36";"468.67";"349.09";"142.82";"48.34";"36.92";"25.75";"30.26";"50.38";"131.07";"304.5";"337.7";"335.68";"450.01";"346.96";"151.07";"42.36";"35.64";"28.39";"28.59";"43.66";"124.5";"274.68";"320.36";"295.24";"418.3";"338.42";"144.69";"32.83";"28.9";"26.14";"27.83";"39.65";"119.8";"300.9";"334.18";"344.29";"452.52";"357.66";"165.81";"36.17";"28.84";"22.78";"29.56";"41.25";"132.94";"272.7";"336.15";"368.31";"447.04";"373.62";"174.93";"38.0";"32.85";"26.12";"31.46";"45.68";"162.45";"294.42";"360.01";"385.09";"485.88";"401.71";"184.71";"42.37";"31.98";"24.82";"29.49";"42.67";"156.78";"304.7";"352.72";"376.7";"471.3";"397.59";"179.6";"40.27";"31.39";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie de plein air - Total - France métropolitaine";"001711261";"";"";"";"";"1251.08";"1955.79";"2256.07";"6739.46";"6861.38";"1617.03";"";"";"";"";"";"";"1195.16";"1402.97";"3107.86";"6736.57";"6746.37";"1823.01";"";"";"";"";"";"";"1300.49";"2028.91";"2594.82";"6300.56";"7067.49";"2017.93";"";"";"";"";"";"";"1198.5";"2102.2";"2627.99";"6344.52";"7470.03";"1869.43";"";"";"";"";"";"";"1265.13";"2095.52";"3069.99";"6086.44";"7385.13";"2128.62";"";"";"";"";"";"";"1575.42";"2674.98";"2896.25";"6610.96";"7461.63";"2047.11";"";"";"";"";"";"";"1481.8";"2309.81";"2729.41";"7047.83";"7182.33";"2336.21";"";"";"";"";"";"";"1884.95";"2300.91";"3382.49";"6979.61";"7325.53";"2306.49";"";"";"";"";"";"";"1492.32";"2823.9";"3311.89";"6785.95";"7641.29";"2630.07";"";"";"";"";"";"";"1894.63";"2391.8";"3915.85";"6820.72";"7876.64";"2659.82";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Île-de-France";"001711250";"";"";"";"";"69.94";"80.45";"79.48";"144.15";"147.2";"38.24";"";"";"";"";"";"";"71.87";"69.0";"80.44";"125.01";"135.87";"53.02";"";"";"";"";"";"";"66.01";"75.75";"80.8";"141.82";"156.45";"69.79";"";"";"";"";"";"";"81.92";"105.08";"89.02";"132.44";"144.2";"66.02";"";"";"";"";"";"";"77.22";"97.38";"94.43";"160.56";"186.14";"90.58";"";"";"";"";"";"";"86.81";"109.31";"108.32";"162.45";"152.15";"65.93";"";"";"";"";"";"";"83.56";"88.7";"95.77";"138.08";"138.23";"60.81";"";"";"";"";"";"";"90.53";"86.28";"91.72";"129.16";"123.41";"64.14";"";"";"";"";"";"";"96.51";"105.86";"100.65";"151.54";"152.6";"85.58";"";"";"";"";"";"";"96.6";"85.14";"107.86";"153.33";"151.74";"78.25";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Centre-Val de Loire";"001711245";"";"";"";"";"25.97";"58.4";"72.86";"205.61";"213.72";"51.2";"";"";"";"";"";"";"30.44";"48.45";"103.51";"194.5";"187.81";"54.83";"";"";"";"";"";"";"30.18";"62.63";"80.34";"185.12";"205.08";"60.18";"";"";"";"";"";"";"24.89";"60.61";"78.0";"197.66";"217.11";"56.7";"";"";"";"";"";"";"25.6";"56.4";"88.34";"181.57";"196.01";"56.67";"";"";"";"";"";"";"30.81";"73.31";"86.8";"197.59";"208.87";"57.78";"";"";"";"";"";"";"31.1";"64.88";"64.39";"203.56";"210.1";"60.15";"";"";"";"";"";"";"42.67";"67.46";"98.84";"195.01";"202.34";"57.35";"";"";"";"";"";"";"38.29";"84.03";"96.42";"194.99";"216.43";"72.22";"";"";"";"";"";"";"49.75";"72.61";"106.87";"193.26";"224.89";"72.22";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Bourgogne-Franche-Comté";"001739007";"";"";"";"";"27.8";"85.29";"109.61";"276.9";"252.31";"73.17";"";"";"";"";"";"";"28.94";"64.26";"141.85";"264.75";"262.06";"81.18";"";"";"";"";"";"";"29.68";"90.09";"128.18";"283.39";"275.96";"88.32";"";"";"";"";"";"";"22.06";"74.23";"116.9";"282.12";"274.1";"80.69";"";"";"";"";"";"";"24.81";"78.77";"144.27";"232.98";"251.92";"87.61";"";"";"";"";"";"";"30.4";"99.46";"131.62";"272.44";"270.45";"86.18";"";"";"";"";"";"";"37.24";"98.14";"106.68";"282.05";"289.56";"98.1";"";"";"";"";"";"";"47.05";"94.75";"152.68";"285.5";"298.31";"103.41";"";"";"";"";"";"";"41.48";"114.91";"145.32";"273.32";"292.74";"109.04";"";"";"";"";"";"";"46.8";"94.77";"170.29";"286.82";"296.7";"118.62";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Normandie";"001739019";"";"";"";"";"76.36";"108.59";"115.07";"271.2";"263.67";"82.76";"";"";"";"";"";"";"72.99";"79.42";"155.62";"243.74";"248.57";"79.86";"";"";"";"";"";"";"70.45";"101.43";"109.23";"212.38";"252.9";"90.89";"";"";"";"";"";"";"61.19";"96.73";"114.79";"251.83";"284.82";"79.39";"";"";"";"";"";"";"64.5";"99.33";"158.81";"253.64";"274.47";"96.99";"";"";"";"";"";"";"89.31";"130.92";"144.72";"276.67";"288.62";"89.48";"";"";"";"";"";"";"84.91";"109.8";"116.24";"264.8";"279.16";"103.43";"";"";"";"";"";"";"93.83";"116.52";"155.07";"281.25";"291.41";"91.36";"";"";"";"";"";"";"69.08";"142.32";"161.95";"302.46";"320.6";"121.56";"";"";"";"";"";"";"112.43";"129.12";"205.0";"322.5";"336.23";"129.99";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Hauts-de-France";"001739030";"";"";"";"";"34.31";"83.43";"90.77";"208.51";"229.96";"53.09";"";"";"";"";"";"";"74.64";"69.97";"109.25";"187.23";"222.62";"62.69";"";"";"";"";"";"";"47.44";"78.39";"92.21";"188.2";"213.26";"87.06";"";"";"";"";"";"";"49.75";"75.58";"94.92";"213.4";"264.71";"71.08";"";"";"";"";"";"";"71.0";"77.48";"115.17";"221.29";"222.91";"68.63";"";"";"";"";"";"";"61.96";"93.69";"116.93";"212.17";"224.85";"53.93";"";"";"";"";"";"";"54.46";"85.71";"100.56";"198.84";"232.3";"71.67";"";"";"";"";"";"";"82.54";"98.74";"132.57";"205.01";"224.73";"71.44";"";"";"";"";"";"";"86.02";"111.65";"132.87";"233.89";"225.8";"74.74";"";"";"";"";"";"";"95.19";"92.29";"139.34";"213.04";"240.98";"85.5";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Grand Est";"001739042";"";"";"";"";"43.5";"100.62";"132.94";"276.98";"253.85";"84.24";"";"";"";"";"";"";"44.98";"75.94";"164.02";"260.05";"249.89";"87.1";"";"";"";"";"";"";"45.67";"106.65";"136.71";"260.52";"288.85";"108.09";"";"";"";"";"";"";"37.63";"93.86";"129.39";"276.5";"278.6";"94.58";"";"";"";"";"";"";"39.37";"94.72";"161.27";"227.62";"244.7";"99.87";"";"";"";"";"";"";"47.19";"111.2";"138.17";"264.07";"263.35";"91.02";"";"";"";"";"";"";"41.56";"111.5";"108.01";"247.25";"275.65";"103.58";"";"";"";"";"";"";"70.47";"105.01";"166.0";"262.95";"281.04";"109.0";"";"";"";"";"";"";"63.19";"147.1";"159.94";"280.13";"318.0";"128.84";"";"";"";"";"";"";"73.61";"101.99";"183.08";"281.01";"296.95";"127.75";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Pays de la Loire";"001711256";"";"";"";"";"153.48";"190.0";"188.63";"598.57";"625.24";"135.37";"";"";"";"";"";"";"119.05";"113.48";"282.65";"587.79";"590.13";"122.6";"";"";"";"";"";"";"155.14";"194.22";"205.2";"496.67";"642.31";"151.01";"";"";"";"";"";"";"144.74";"206.65";"199.0";"524.45";"680.3";"131.5";"";"";"";"";"";"";"143.23";"196.9";"253.26";"533.65";"667.16";"147.69";"";"";"";"";"";"";"183.44";"246.5";"235.67";"597.2";"700.82";"139.02";"";"";"";"";"";"";"189.33";"213.83";"204.7";"655.43";"649.48";"183.79";"";"";"";"";"";"";"188.9";"224.38";"283.67";"622.75";"651.48";"158.65";"";"";"";"";"";"";"145.04";"294.99";"273.54";"592.67";"706.25";"201.86";"";"";"";"";"";"";"212.56";"249.66";"343.32";"641.26";"740.23";"198.1";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Bretagne";"001711244";"";"";"";"";"134.53";"175.38";"183.75";"563.37";"590.55";"121.63";"";"";"";"";"";"";"114.17";"117.55";"272.12";"556.63";"576.1";"126.94";"";"";"";"";"";"";"136.44";"181.03";"188.36";"460.62";"591.59";"148.8";"";"";"";"";"";"";"126.16";"199.0";"195.56";"548.35";"725.37";"145.48";"";"";"";"";"";"";"131.68";"192.75";"248.91";"565.81";"692.64";"176.19";"";"";"";"";"";"";"172.74";"245.99";"251.55";"629.03";"688.86";"165.39";"";"";"";"";"";"";"168.68";"203.53";"206.47";"636.17";"678.34";"196.39";"";"";"";"";"";"";"192.52";"229.52";"300.01";"656.04";"710.48";"174.35";"";"";"";"";"";"";"134.88";"301.58";"298.97";"658.44";"781.6";"233.95";"";"";"";"";"";"";"200.76";"246.42";"330.43";"720.95";"790.05";"233.73";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Nouvelle-Aquitaine";"001739054";"";"";"";"";"202.76";"267.07";"316.55";"1230.38";"1354.03";"270.94";"";"";"";"";"";"";"212.1";"202.36";"495.66";"1230.47";"1294.78";"298.48";"";"";"";"";"";"";"222.22";"300.61";"404.82";"1136.03";"1403.0";"359.56";"";"";"";"";"";"";"203.29";"322.24";"391.56";"1119.18";"1404.16";"302.02";"";"";"";"";"";"";"210.95";"309.19";"474.51";"1101.56";"1440.68";"366.52";"";"";"";"";"";"";"253.03";"395.77";"456.49";"1212.2";"1480.33";"350.44";"";"";"";"";"";"";"255.72";"340.76";"433.47";"1368.57";"1416.54";"423.81";"";"";"";"";"";"";"354.39";"365.01";"525.95";"1322.58";"1442.28";"383.77";"";"";"";"";"";"";"248.36";"430.83";"514.68";"1227.66";"1488.31";"497.72";"";"";"";"";"";"";"342.16";"378.93";"637.1";"1243.58";"1536.49";"472.69";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Occitanie";"001739066";"";"";"";"";"194.57";"315.01";"366.27";"1245.16";"1259.87";"281.74";"";"";"";"";"";"";"161.69";"211.62";"519.39";"1281.17";"1244.58";"308.09";"";"";"";"";"";"";"198.24";"339.01";"457.95";"1190.78";"1284.14";"339.68";"";"";"";"";"";"";"178.24";"346.83";"453.11";"1121.09";"1348.47";"316.31";"";"";"";"";"";"";"193.74";"354.46";"509.82";"1070.64";"1362.6";"337.43";"";"";"";"";"";"";"255.21";"468.96";"466.99";"1109.81";"1347.48";"346.97";"";"";"";"";"";"";"210.73";"377.32";"489.44";"1256.79";"1261.09";"388.16";"";"";"";"";"";"";"298.75";"363.52";"564.34";"1226.46";"1289.59";"409.61";"";"";"";"";"";"";"240.03";"429.09";"552.25";"1162.9";"1303.56";"413.99";"";"";"";"";"";"";"278.84";"369.35";"673.39";"1124.01";"1382.87";"411.83";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Auvergne-Rhône-Alpes";"001739078";"";"";"";"";"95.67";"205.66";"241.95";"770.09";"725.17";"150.03";"";"";"";"";"";"";"81.88";"140.76";"342.3";"791.9";"736.47";"185.28";"";"";"";"";"";"";"96.93";"213.66";"303.51";"778.87";"764.52";"192.43";"";"";"";"";"";"";"79.32";"199.5";"298.33";"756.32";"771.18";"174.04";"";"";"";"";"";"";"90.11";"222.55";"346.73";"668.02";"750.9";"204.48";"";"";"";"";"";"";"124.52";"298.25";"336.16";"769.4";"796.26";"202.69";"";"";"";"";"";"";"127.38";"268.83";"321.89";"834.13";"816.89";"249.31";"";"";"";"";"";"";"159.42";"251.33";"403.37";"825.4";"843.79";"247.3";"";"";"";"";"";"";"122.86";"295.65";"385.82";"797.08";"844.16";"261.07";"";"";"";"";"";"";"144.65";"257.14";"456.16";"790.62";"876.2";"265.27";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Provence-Alpes-Côte d'Azur";"001711259";"";"";"";"";"178.42";"238.69";"253.71";"683.62";"683.99";"195.09";"";"";"";"";"";"";"167.12";"167.69";"342.44";"777.0";"708.1";"242.75";"";"";"";"";"";"";"186.79";"243.43";"310.07";"717.47";"726.79";"237.12";"";"";"";"";"";"";"174.13";"272.72";"351.39";"675.38";"757.38";"245.84";"";"";"";"";"";"";"177.74";"269.71";"364.32";"653.85";"795.23";"285.56";"";"";"";"";"";"";"218.83";"336.36";"313.68";"668.38";"751.45";"278.06";"";"";"";"";"";"";"174.71";"288.97";"364.58";"714.21";"680.28";"273.01";"";"";"";"";"";"";"239.57";"246.81";"383.09";"737.03";"719.42";"320.8";"";"";"";"";"";"";"184.06";"295.73";"359.91";"667.98";"713.1";"290.4";"";"";"";"";"";"";"216.78";"254.7";"435.28";"627.19";"749.95";"317.62";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Total - Corse";"001711247";"";"";"";"";"13.76";"47.19";"104.5";"264.92";"261.83";"79.55";"";"";"";"";"";"";"15.27";"42.47";"98.61";"236.35";"289.39";"120.21";"";"";"";"";"";"";"15.31";"42.0";"97.44";"248.72";"262.66";"85.01";"";"";"";"";"";"";"15.21";"49.17";"116.02";"245.81";"319.63";"105.78";"";"";"";"";"";"";"15.19";"45.89";"110.17";"215.25";"299.78";"110.41";"";"";"";"";"";"";"21.16";"65.26";"109.14";"239.56";"288.15";"120.22";"";"";"";"";"";"";"22.4";"57.83";"117.23";"247.97";"254.72";"124.02";"";"";"";"";"";"";"24.33";"51.6";"125.2";"230.49";"247.23";"115.31";"";"";"";"";"";"";"22.54";"70.18";"129.56";"242.93";"278.14";"139.11";"";"";"";"";"";"";"24.51";"59.69";"127.72";"223.16";"253.35";"148.27";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
